url,address,year_built,condition,wear_percent,lat,lon
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/658025,"ул. 1-я Железнодорожная, 39, Астрахань, Астраханская область",1982,Исправный,45,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1349656,"ул. 1-я Заречная, 4 корпус 2, Астрахань, Астраханская область",1955,Исправный,,46.2981555,47.9547916
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1154886,"ул. 1-я Керченская, 1б, Астрахань, Астраханская область",1983,Исправный,25,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/417758,"ул. 1-я Котельная, 2, Астрахань, Астраханская область",1968,Исправный,60,46.3079194,47.9933481
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/561675,"ул. 1-я Котельная, 4, Астрахань, Астраханская область",1976,Исправный,45,46.3073113,47.9946052
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/627459,"ул. 1-я Котельная, 4а, Астрахань, Астраханская область",1976,Исправный,40,46.3068411,47.9936294
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1364171,"ул. 1-я Литейная, Строение 14, Астрахань, Астраханская область",1966,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/417759,"ул. 1-я Литейная, 2а, Астрахань, Астраханская область",1970,Исправный,60,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1259100,"ул. 1-я Литейная, 4, Астрахань, Астраханская область",1958,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1238201,"ул. 1-я Литейная, 6, Астрахань, Астраханская область",1960,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1288476,"ул. 1-я Литейная, 8, Астрахань, Астраханская область",1959,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1159572,"ул. 1-я Литейная, 10а, Астрахань, Астраханская область",1987,Исправный,20,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1371216,"ул. 1-я Литейная, 81, Астрахань, Астраханская область",1960,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1365859,"ул. 1-я Новолесная, 1, Астрахань, Астраханская область",,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1042543,"ул. 1-я Перевозная, 4, Астрахань, Астраханская область",1917,Аварийный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/989952,"ул. 1-я Перевозная, 98в, Астрахань, Астраханская область",1961,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1297075,"ул. 1-я Перевозная, 98, Астрахань, Астраханская область",1958,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/987101,"ул. 1-я Перевозная, 100, Астрахань, Астраханская область",1958,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1336543,"ул. 1-я Перевозная, 100а, Астрахань, Астраханская область",1962,Аварийный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1265362,"ул. 1-я Перевозная, 102, Астрахань, Астраханская область",1958,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1043144,"ул. 1-я Перевозная, 102В, Астрахань, Астраханская область",1960,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1242623,"ул. 1-я Перевозная, 104а, Астрахань, Астраханская область",1959,Аварийный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1265549,"ул. 1-я Перевозная, 104, Астрахань, Астраханская область",1960,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/634753,"ул. 1-я Перевозная, 106б, Астрахань, Астраханская область",1967,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/875229,"ул. 1-я Перевозная, 106, Астрахань, Астраханская область",1961,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1240845,"ул. 1-я Перевозная, 106а, Астрахань, Астраханская область",1960,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1043148,"ул. 1-я Перевозная, 108, Астрахань, Астраханская область",1960,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1044346,"ул. 1-я Перевозная, 110, Астрахань, Астраханская область",1960,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1043153,"ул. 1-я Перевозная, 112, Астрахань, Астраханская область",1962,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/995386,"ул. 1-я Перевозная, 114, Астрахань, Астраханская область",1961,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/634754,"ул. 1-я Перевозная, 116, Астрахань, Астраханская область",1962,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/600240,"ул. 1-я Перевозная, 118 корпус 2, Астрахань, Астраханская область",1985,Исправный,37,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1147872,"ул. 1-я Перевозная, 118, Астрахань, Астраханская область",1980,Исправный,42,,
